Name,Rating,Pricing,Location,Reviews,Review Count,Cuisine,Number of Reviews,image_url
Gatsby's Landing Times Square,4,,"['120 West 44th St', 'New York, NY 10036']","[{'text': 'Our family of 9, ranging in age from 13 to 75 had the most wonderful meal on Saturday, March 11, 2023.  The staff and service were wonderful, attentive,...', 'reviewer': 'Kathleen M.', 'reviewer_id': '5avP8ha7E7oRnph0ZNA_QQ', 'rating': 5}, {'text': ""Don't miss the opportunity, walk in's welcome. Our waiter, Billy was very attentive. Good ambiance, friendly service. Jumbo shrimp cocktail yes! Beet salad..."", 'reviewer': 'Christopher L.', 'reviewer_id': 'Jc8AaWiqsi8xTXcyasvSZw', 'rating': 5}, {'text': 'The food was delicious, the environment beautiful and the service excellent. \nHighly recommend to give this restaurant a try.  We were a party of 5 and...', 'reviewer': 'Mariaté G.', 'reviewer_id': '0ip0CiJgsgM4AlM01Xz1hA', 'rating': 4}]",3,American (New),93,https://s3-media1.fl.yelpcdn.com/bphoto/5vI6E2zoZwMP2Pj6-bNtBg/o.jpg
Gramercy Tavern,5,$$$$,"['42 E 20th St', 'New York, NY 10003']","[{'text': 'In my years of cooking it was a pleasure to work with this team over a decade ago and Chef Michael Anthony and team have not disappointed. Not only was the...', 'reviewer': 'Dillon B.', 'reviewer_id': 'dyRe3NRkBUi75QYyB4B-qg', 'rating': 5}, {'text': 'Gramercy Tavern, one Michelin star new American style\nThe decor is very cozy, modern American rustic style of a restaurant, very suitable for family and...', 'reviewer': 'Min J.', 'reviewer_id': 'gp4B2Qy5ENfmL2HMvUuhOQ', 'rating': 3}, {'text': 'Wow, just wow.  From 2008 to 2019 my favorite Burger in the world was at the spotted Pig (first time I visited to last time I visited).  Now that they are...', 'reviewer': 'Andrew C.', 'reviewer_id': 'Q-OpR84RkmQ1eWkdzoBazA', 'rating': 5}]",3,American (New),3304,https://s3-media2.fl.yelpcdn.com/bphoto/f14WAmWETi0cu2f6rUBj-Q/o.jpg
Sanmiwago,4,$,"['90 Bowery', 'New York, NY 10013']","[{'text': 'This is a newly opened restaurant with pretty elegant inside decoration.  \n\nThey offer variety cold dishes for the congee.  I ordered a pig tongue cold dish...', 'reviewer': 'Sally L.', 'reviewer_id': '0jms_XK92iY5ISLcYSWqfQ', 'rating': 5}, {'text': 'Quick bites in Chinatown, good for late nights. The servers were friendly. There were places to sit and eat.\n\nOrdered food at the kiosk.\n\nThe portion size...', 'reviewer': 'Chin T.', 'reviewer_id': 'NBe9rr5dATGvBs3hwMqVvA', 'rating': 4}, {'text': 'Quick and cheap bites in Chinatown. We came in on a random night, and decided to check it out. Though the menu is small, they had lots of choices so be sure...', 'reviewer': 'YingLinn C.', 'reviewer_id': '0YblveP0uwVv_5Uv09m2pg', 'rating': 4}]",3,Bubble Tea,21,https://s3-media4.fl.yelpcdn.com/bphoto/W2y70tfhllbipNLGyJ6MIg/o.jpg
Di An Di,3,$$,"['68 Greenpoint Ave', 'Ground Fl', 'Brooklyn, NY 11222']","[{'text': 'This cute little restaurant is located in Greenpoint. Been here twice and loved it.\n\nHowever, when I arrived this last Saturday, the menu changed...', 'reviewer': 'Dinh B.', 'reviewer_id': 'vkgbXPNmQgESoGN-JO66rA', 'rating': 4}, {'text': ""This place is fire, I understand why it's on the Michelin guide. \nDecor is 10/10\nFood is casual but there's a playful twist on traditional vietnamese dishes..."", 'reviewer': 'Karin H.', 'reviewer_id': 'eQgm40HWHKTl_DvbhNgn9A', 'rating': 5}, {'text': 'I really wanted to give this popular spot a fair shot, so decided to hold off on writing a review until after my second visit. But this review confirms how...', 'reviewer': 'Vianna C.', 'reviewer_id': 'VhST-qBAr3l8ysI_QrBTDA', 'rating': 3}]",3,Vietnamese,324,https://s3-media2.fl.yelpcdn.com/bphoto/YMo281bv-lFchFm8jqgcAg/o.jpg
Shukette,4,$$$,"['230 9th Ave', 'New York, NY 10001']","[{'text': ""Best food I've had in awhile.  We came to see a friend, and stayed  for the food.   The service and all around atmosphere were all top notch.  Highly..."", 'reviewer': 'Steve S.', 'reviewer_id': 'po1n47qnHrrnSflseNDzzA', 'rating': 5}, {'text': 'Wow! Shukette is definitely worth the hype and I totally understand why a reservation is so difficult to snag. Shukette is probably my favorite overall...', 'reviewer': 'Jenny Z.', 'reviewer_id': 'Jl1z3Wylzhb25XejTxPHtQ', 'rating': 5}, {'text': 'The three types of breads were all fresh and well made. My favorite was the frena, Moroccan bread, with garlic infused in and nice doughy texture. The three...', 'reviewer': 'Mandy K.', 'reviewer_id': 'krziAgCMYW6suNxpBnABKw', 'rating': 4}]",3,Middle Eastern,249,https://s3-media3.fl.yelpcdn.com/bphoto/XgTdt-WWEtFKx7Y9zuUw9A/o.jpg
Shanghai 21,5,$$,"['21 Mott St', 'New York, NY 10013']","[{'text': 'Overall rating: 4.8\n\nI absolutely love this place. I read the low reviews and I will admit- you have to figure out the perfect time to go because you might...', 'reviewer': 'Olivia N.', 'reviewer_id': 'uaAJzWR1iipChDerr_hFkg', 'rating': 5}, {'text': ""Best Chinese food I've ever had. If you're looking for an authentic Chinese food this is one of the spots to visit. It's a few doors down or next to Wo Hop..."", 'reviewer': 'Jackie L.', 'reviewer_id': 'lD8GSBes-stEDcQr0CKdKA', 'rating': 5}, {'text': 'Knew I had to come when I saw Black Truffle Soup Dumplings on the menu, and they did not disappoint! They were definitely well-balanced, with the truffle...', 'reviewer': 'Dan S.', 'reviewer_id': 'zxImnQ7ysdVpfCiRaoiK9Q', 'rating': 5}]",3,Shanghainese,1936,https://s3-media3.fl.yelpcdn.com/bphoto/uJQIdE-c9phHAzvQ5YhJZQ/o.jpg
Okdongsik,5,$$,"['13 E 30th St', 'New York, NY 10016']","[{'text': 'I was looking for something hearty for dinner and because this restaurant has been on my list, I thought I might give it a try. Thankfully I only waited 20...', 'reviewer': 'Jungyoon B.', 'reviewer_id': 'aimKyCfZzGSW6E7JlbS1dQ', 'rating': 5}, {'text': 'Okdongsik is my go-to spot for a warm and comforting meal. \n\nThe menu is super small, consisting of only 2 food items: their signature pork Gomtang (a...', 'reviewer': 'Molly Z.', 'reviewer_id': 'hzRsvggtqhN6VfGcxfq8Bw', 'rating': 5}, {'text': 'We made a reservation and came here for a Sunday lunch. To summarize, I am so glad I made the trek from Queens to give this restaurant a try!\n\nThere are...', 'reviewer': 'Carolyn W.', 'reviewer_id': '5x2OpFcaCKs5572Sb5Xocw', 'rating': 5}]",3,Korean,138,https://s3-media3.fl.yelpcdn.com/bphoto/BvzaKq-dCLgJKyeW-tPhyg/o.jpg
Olea,4,$$,"['171 Lafayette Ave', 'Brooklyn, NY 11238']","[{'text': 'Five stars for their really excellent service and accommodations! We were a party of 6 and were able to get onto a table before a 2pm reservation time slot...', 'reviewer': 'Valerie G.', 'reviewer_id': 'y6CQimy-WdJi9A0rl2Hkfg', 'rating': 5}, {'text': ""I've heard rave reviews for Olea for ages, so I was excited to finally try this spot out!\n\nMy group had a reservation for 7 on a late Saturday morning, and..."", 'reviewer': 'Em M.', 'reviewer_id': 'Q_XHsKo9nzEsZw5uRm9v1g', 'rating': 4}, {'text': ""Love Olea and the food here. Highly recommend the  branzino, the Orecchiette Pasta (super chewy!!) and the seafood paella. I've dined and gotten take out..."", 'reviewer': 'Mandy C.', 'reviewer_id': 'P6w7dWa9nwzzEeHg70mqfA', 'rating': 4}]",3,Tapas Bars,985,https://s3-media2.fl.yelpcdn.com/bphoto/DnRMsVyIBgFA-CsLDU5AYw/o.jpg
Helen's,5,$$,"['22 1/2 Ninth Ave', 'New York, NY 10014']","[{'text': 'After discovering its great happy hour specials, I swung by to check this spot out in person. And it is impressive.\n\nThis used to be a club back in the day...', 'reviewer': 'Nez B.', 'reviewer_id': 'Twxsojbsaow_ctPeHtiq0Q', 'rating': 5}, {'text': ""Helen's is a cool and trendy spot to grab a cocktail. If it's not a speakeasy, it's at least speakeasy-adjacent. It's at the bottom of unassuming concrete..."", 'reviewer': 'Rob M.', 'reviewer_id': '-0UmgHeIgTJC7VNHZSNBbw', 'rating': 5}, {'text': ""I can't say enough good things about this place. I wanted a birthday gathering of some friends, some good drinks, some good snacks, Where we didn't feel..."", 'reviewer': 'G A.', 'reviewer_id': 'Ql6DvNtfFMDquW6MPVRlgA', 'rating': 5}]",3,Asian Fusion,82,https://s3-media1.fl.yelpcdn.com/bphoto/fbwM9pI5hy6O5azeb2Wr5A/o.jpg
The Reading Room,3,,"['16 E 46th St', 'New York, NY 10017']","[{'text': 'My first visit this week was for breakfast.  At 7:45 AM very few tables were occupied so seating was easy.  The facility is attractively furnished and...', 'reviewer': 'Barnet R.', 'reviewer_id': 'iT6xH9r_KFSFwdxPyZqFHQ', 'rating': 3}, {'text': ""A small and intimate setting was perfect to meet up with some old friends. Great for conversation while you ate because it wasn't excessively loud.\n\nWe..."", 'reviewer': 'Charlie R.', 'reviewer_id': 'QE4SEc20JOnaoemdQR2JBw', 'rating': 5}, {'text': 'Wanted to like this place... looked perfect for a get together I was having. Looked like great drinks, awesome selection of food and best of all a place to...', 'reviewer': 'Bobs N.', 'reviewer_id': 'LVNB868MfA8Zy99LXK-7nw', 'rating': 3}]",3,American (New),62,https://s3-media2.fl.yelpcdn.com/bphoto/3iAdQtbNvWwrQuXXtM9q0A/o.jpg
Forma Pasta Factory,5,,"['5 Greene Ave', 'Brooklyn, NY 11238']","[{'text': 'Forma Pasta Factory is a must-visit spot for any pasta lover in the area! We decided to try out the Friday Special, which was the orecchiette with lamb...', 'reviewer': 'Nelson Y.', 'reviewer_id': 'NUQWDdNpYjIdKauyVUBqDw', 'rating': 5}, {'text': 'Very casual pasta place and sooo good!! We got the spaghetti, the pappardelle, and the malfadine pasta and I would honestly order all three dishes again....', 'reviewer': 'Mandy C.', 'reviewer_id': 'P6w7dWa9nwzzEeHg70mqfA', 'rating': 4}, {'text': ""I'm really excited to write this review. I've wanted to visit Forma since I first encountered them up in Williamsburg before the pandemic. Now, years later,..."", 'reviewer': 'Amara R.', 'reviewer_id': 'RVl4wNUwiOHN79rzvld5XA', 'rating': 5}]",3,Italian,23,https://s3-media3.fl.yelpcdn.com/bphoto/om1pdhUzcVWltXnbUdJ8rQ/o.jpg
Bacàn,1,,"['79 Grand St', 'Brooklyn, NY 11249']","[{'text': 'Not super busy on a Saturday brunch. Was able to get a last minute reservation. Service was average.\n\nI got the Uovo al Tartufo which was pretty good but...', 'reviewer': 'Hiral P.', 'reviewer_id': '0Nrv9X8J_vSVoA55NmtmcQ', 'rating': 4}, {'text': 'Came here for brunch on a Sunday, no reservations needed. The restaurant was about half full on a chilly windy afternoon.\nThe food was average....', 'reviewer': 'Chantel Y.', 'reviewer_id': 'Ks61RTDTnKnIiPLRt17oUQ', 'rating': 3}, {'text': ""Here's the run down. \n\nParpadelle was like pasta with beef broth. Awful. Riceball app was ice cold. Glass of red is $16 and not good. Asked for a side of..."", 'reviewer': 'Matt M.', 'reviewer_id': 'gHn9VuxXCvrraNpOWMP0QQ', 'rating': 1}]",3,Italian,33,https://s3-media2.fl.yelpcdn.com/bphoto/3QbfEe7Es8nUY3aQUgt8sw/o.jpg
OTB,5,$$,"['141 Broadway', 'Brooklyn, NY 11211']","[{'text': 'Can I start off with service for a Friday evening in Brooklyn......\n\nWe came in it was pretty average inside soooo we was like DAMN!!!!\nBut the server ask...', 'reviewer': 'Tiff T.', 'reviewer_id': 'Jh05iF0jj3B0Hl2jYLEBvw', 'rating': 5}, {'text': ""My new favorite bar in the winter because there's so much natural light during the daytime. And there are tasty warm winter beverages in adorable mugs. The..."", 'reviewer': 'Cathy D.', 'reviewer_id': 'fys0X9T65lRMT0SCK4GWbg', 'rating': 5}, {'text': ""I stopped by here before a show and the set up is cute. They had nice music playing but it wasn't too loud. The waiter Nesto was super friendly and..."", 'reviewer': 'Lizcary A.', 'reviewer_id': 'c4271u0eyvfgKnuNFzvRgA', 'rating': 5}]",3,American (New),171,https://s3-media3.fl.yelpcdn.com/bphoto/AU9Lkx_vancc7qp4mJmOCg/o.jpg
The Frenchman's Dough,5,,"['96 South St', 'New York, NY 10038']","[{'text': ""Pretty good place if you don't prefer crowds. It's inside the Tin Building in NYC. We ordered the kiwi Margherita and the pomo Margherita for drinks and..."", 'reviewer': 'Chithra V.', 'reviewer_id': 'Xd9lRxYi5WRj1HvQ8qRdkw', 'rating': 5}, {'text': ""There's lots to like at this French-inflected pizza-and-pasta spot, which somehow manages to be comfortable and pleasant despite barely being cordoned off..."", 'reviewer': 'Jeff O.', 'reviewer_id': 'gtOZPEyH0iLKHVQszdqqjg', 'rating': 4}, {'text': ""Service was great, everything we ate had amazing flavor, the space was full and yet we couldn't hear other peoples conversations. It was just a really..."", 'reviewer': 'Caitlin D.', 'reviewer_id': 'GH_BprrNu0cn-FUtfz8sXA', 'rating': 5}]",3,Italian,20,https://s3-media1.fl.yelpcdn.com/bphoto/OT7ATYb7MEw2i_XQ56v79g/o.jpg
Les Enfants de Boheme,2,$$,"['177 Henry St', 'New York, NY 10002']","[{'text': 'Came with my parents for Sunday brunch around noon. Lovely and cosy ambience which I imagine is quite romantic in the evening. Very pleasant service from...', 'reviewer': 'Grace C.', 'reviewer_id': 'QqTwRvSyj4H6GVdKKkAiUQ', 'rating': 5}, {'text': 'Excellent neighborhood spot.\nAlways great friendly service and delicious food. \nHighly recommend.', 'reviewer': 'Emma L.', 'reviewer_id': 'm4BydiOWQXuvp5e-aADxsg', 'rating': 5}, {'text': 'I came here for brunch. The food was fine but the service was terrible.\n\nWhen I got there, another group got there 1 minute before me, literally. One more...', 'reviewer': 'Kelvin L.', 'reviewer_id': 'Pom7JA3ioNXLrxVwspKflg', 'rating': 2}]",3,French,333,https://s3-media1.fl.yelpcdn.com/bphoto/Sw6SDhbhkdi7MJeDajbp5A/o.jpg
Lilia,4,$$$,"['567 Union Ave', 'Brooklyn, NY 11211']","[{'text': 'Missy Robbins is one of the outstanding chefs by far. Nothing  we ever uhad tasted mediocre only the wow factor. Start with the grilled clams and the...', 'reviewer': 'Lisa C.', 'reviewer_id': 'sUcruC8PTCUlN4R3G2bEHQ', 'rating': 5}, {'text': ""I've been trying to come here for some time now. My friend who lives nearby figured out that if you come early enough, you can make a reservation for the..."", 'reviewer': 'Kim X.', 'reviewer_id': 'yVS0746EB5gBNGE8FG5p-w', 'rating': 4}, {'text': 'We managed to walk into Lilia at 7:30 pm on a Tuesday night after trying to snag a walk in spot at 4 pm on a Thursday (to no avail). So week day may be the...', 'reviewer': 'Jen L.', 'reviewer_id': 'ws8Y1fFTgEng2JIXqmJIcA', 'rating': 4}]",3,Italian,1133,https://s3-media1.fl.yelpcdn.com/bphoto/CVDfrE84IWv9v-Y86jqlRg/o.jpg
The Wren,5,$$,"['344 Bowery', 'New York, NY 10012']","[{'text': 'I have been to The Wren three times now and am impressed by every visit. The drinks can be hit or miss, but you cannot go wrong as far as food goes. The...', 'reviewer': 'Jake R.', 'reviewer_id': 'M-6_t2yNwk6Y3bfvAYmRnw', 'rating': 5}, {'text': 'A nice spot to go with friends and share drinks. Ended up here with a group and sat in the back. You seat and serve yourself on Saturday nights. Bar staff...', 'reviewer': 'Dave F.', 'reviewer_id': 'osdeS7I26qJhW2Qz6sJLzQ', 'rating': 4}, {'text': 'Ambiance is lowkey kinda dark and mysterious but the HH crowd makes it a bit lively. The music was low enough that you could have had a nice conversation...', 'reviewer': 'Amber S.', 'reviewer_id': 's-UHO0OFkA-UY5QIyGTtQQ', 'rating': 5}]",3,Bars,614,https://s3-media2.fl.yelpcdn.com/bphoto/GU7pSWigy_h52g4Qm54_Tg/o.jpg
Walter's,5,$$,"['166 DeKalb Ave', 'Brooklyn, NY 11217']","[{'text': ""Super cute neighborhood restaurant that's dog friendly! We stopped in for a weekend brunch and quickly got a table in the heated and covered patio. \n\nThe..."", 'reviewer': 'Rachel G.', 'reviewer_id': 'zedwimHsDDdbygTpPJBjjw', 'rating': 5}, {'text': 'Everything was delicious!! Not to mention the food came out in less than 5 minutes. Shockingly fast service for such incredible food. \n\nThe french fries...', 'reviewer': 'Priyanka N.', 'reviewer_id': 'l4eh5m3l7lNYhowHFrKuag', 'rating': 5}, {'text': 'Any place that can make me love Brussels sprouts is doing something right.  We started with the oysters which were sweet  and very fresh.  Then the deviled...', 'reviewer': 'Finola K.', 'reviewer_id': 'HKyl0h1aluwNLkwyVXRUpw', 'rating': 5}]",3,American (New),619,https://s3-media2.fl.yelpcdn.com/bphoto/-IVziQ52oaC5C0YS7pztDQ/o.jpg
Soba-ya,5,$$,"['229 E 9th St', 'New York, NY 10003']","[{'text': 'Place was empty and we were seated right away when we arrived around noon on a Wednesday. Service was super quick; the food arrived probably under 10...', 'reviewer': 'Claire L.', 'reviewer_id': 'fV4svEUlcG5TdJ9flPPpIQ', 'rating': 4}, {'text': 'So very disappointing!  We were expecting really good food from all the wonderful reviews.\n\nInstead, our very expensive delivery order was a B- at best....', 'reviewer': 'Rima F.', 'reviewer_id': 'J3ZMxyyKO0T1V-pVLsj1nQ', 'rating': 2}, {'text': 'This place never disappoints me. \n\nI have been going here for over a decade and their quality remains top-notch!\n\nI usually order their cold soba noodles...', 'reviewer': 'Melinda W.', 'reviewer_id': 'p5azwqm05TOAWRc2gMlrkQ', 'rating': 5}]",3,Japanese,1546,https://s3-media4.fl.yelpcdn.com/bphoto/xGWd2_qlV4fejCuJkJIAVg/o.jpg
La Contenta Oeste,4,$$,"['78 W 11th St', 'New York, NY 10011']","[{'text': 'I had my birthday dinner for a group of 12 friends here and it was great. \n\nPros: \n- Delicious food and drinks, we went to their Norfolk Street location...', 'reviewer': 'Ann L.', 'reviewer_id': 'dXu3M7ltDRbpuC8uq-Zx1g', 'rating': 5}, {'text': ""We've been going to the original La Contenta on the LES for years and were so excited to get a table at their Oeste location before we went to a concert at..."", 'reviewer': 'Maggie R.', 'reviewer_id': 'nG7RATWL7qvHw7Kh8uiWRA', 'rating': 5}, {'text': 'Cute interior that changes seasonally. My friend came and split guacamole and she and I each got an order of tacos. Good quality meat and generous amount on...', 'reviewer': 'Jillian B.', 'reviewer_id': 'kJf1EKBbNK5qbSm5ofUFOg', 'rating': 4}]",3,Mexican,315,https://s3-media4.fl.yelpcdn.com/bphoto/REnuRJEbMXWlGRRFv6KPfQ/o.jpg
Forma Pasta Factory,5,$$,"['14 Bedford Ave', 'Brooklyn, NY 11222']","[{'text': ""Place was really cute, food was good, good prices. Sad the hot Australian waiter wasn't on the menu"", 'reviewer': 'Lucia B.', 'reviewer_id': 'F3FjAwqN_BPhtGJ5APU2bw', 'rating': 5}, {'text': 'Fettuccine funghi was our favorite. Service was good and quick. Not a lot of seats available to accommodate too many people in line.', 'reviewer': 'Eloisa T.', 'reviewer_id': 'RNjdv8nqpioa0iEllyDbGA', 'rating': 5}, {'text': 'Already planning my trip back!\n\nForma Pasta Factory has been on my list for too long! The menu selections look awesome along with the prices and they have...', 'reviewer': 'Ashlee S.', 'reviewer_id': 'C1rEjLl30tkaD2TGM_Yurw', 'rating': 5}]",3,Pasta Shops,534,https://s3-media3.fl.yelpcdn.com/bphoto/ZvsKs9c9dWVGYeTwNHR0Kw/o.jpg
Pecking House,5,,"['244 Flatbush Ave', 'Brooklyn, NY 11217']","[{'text': 'Pecking House was one of those businesses that opened up during lockdown that seemed to thrive off of word of mouth and social media hype building and...', 'reviewer': 'Silvie C.', 'reviewer_id': 'B74FxYnPln4UBucLhOnNdQ', 'rating': 5}, {'text': 'Fast food style place where you order and seat yourself. Came here with a friend during downtime so there was lots of seating available. \n\nWe ordered two...', 'reviewer': 'Jiao L.', 'reviewer_id': 'cwLlFIT1i9NtfMZw4XyaNA', 'rating': 3}, {'text': 'Enjoyed a fantastic dinner at Pecking House on Friday evening. Not a single complaint for this place, a chicken sandwich worth the higher price.\n\nQuality:...', 'reviewer': 'Ryan F.', 'reviewer_id': 'KNI32keq5Xl2JYIppfDfHg', 'rating': 5}]",3,Chicken Shop,73,https://s3-media3.fl.yelpcdn.com/bphoto/OsRMXiZYpe2vgR1yE_8orQ/o.jpg
Sweetwater Restaurant,4,$$,"['105 N 6th St', 'Brooklyn, NY 11249']","[{'text': 'Delicious brunch in williamsburg.\nThe servers are friendly and the food is good.\nI had their fish tacos which came as a set of 3 tacos. I thought ut was...', 'reviewer': 'Gloria K.', 'reviewer_id': '4YemMsrI26nkSCrbvxNagw', 'rating': 5}, {'text': 'I was very impressed by this place! I got the grilled hanger steak which was slightly over cooked but the sauce it was in was delicious. The onion rings...', 'reviewer': 'Taylor K.', 'reviewer_id': 'INURccZZpQ1Gr02eGh6utg', 'rating': 4}, {'text': 'Took a friend out for dinner for his birthday two weeks ago. \n\nWe both had solid burgers and cocktails.\nGreat ambiance. And the service was quick and friendly!', 'reviewer': 'Michelle A.', 'reviewer_id': 'RDnA1bEVWX0Gqkt-hSezmg', 'rating': 4}]",3,American (New),457,https://s3-media1.fl.yelpcdn.com/bphoto/LHgS0WHxs5JqKBV3hDHDJw/o.jpg
Oxomoco,5,$$$,"['128 Greenpoint Ave', 'Brooklyn, NY 11222']","[{'text': 'Overall rating: 4.9\n\nNOTE: this place has 1-star Michelin. You are not allowed to be surprised by the price. That said, omg so expensive \n\nSome...', 'reviewer': 'Olivia N.', 'reviewer_id': 'uaAJzWR1iipChDerr_hFkg', 'rating': 5}, {'text': 'My friend and I came here for dinner and ended up with the conclusion that Oxomoco is trendy, yummy, a lil overpriced but still worth a visit. \n\n+black...', 'reviewer': 'Elizabeth R.', 'reviewer_id': 'og5d41fhVxWoTvEmJ711hA', 'rating': 4}, {'text': 'I have been eyeing this spot for quite some time and today I finally got to try! Right off the bat, I was surprised by how relaxed the place was. The...', 'reviewer': 'Carolina H.', 'reviewer_id': 'PXAupJS-OE-zoxdQaM3CnQ', 'rating': 5}]",3,Mexican,567,https://s3-media1.fl.yelpcdn.com/bphoto/cvDGC7PrvipFbpHgZMh-jA/o.jpg
Bird Dog,5,,"['525 Hudson St', 'New York, NY 10014']","[{'text': 'This place was DELICIOUS -- truly an experience for all your senses. We had the pre fixe menu, and every single selection was divine. From the hush puppies...', 'reviewer': 'Genesis M.', 'reviewer_id': 'ZYHGKqaJRdz124Er01Gl-w', 'rating': 5}, {'text': 'We were greeted outside by the staff and invited inside. It was like going to a family home. The owner/chefvgave us a run through of the menu options and...', 'reviewer': 'Ren P.', 'reviewer_id': 'c8DvCSc1TfJbvYaeU0k_pA', 'rating': 5}, {'text': 'The Chefs Tasting sounds amazing but also enough food for a week. So we chose the 3 course meal and it was the perfect amount of food. The pasta was the...', 'reviewer': 'Kevin K.', 'reviewer_id': 'UcHbR0yg4OojjEDYTTqswg', 'rating': 5}]",3,Southern,169,https://s3-media1.fl.yelpcdn.com/bphoto/bYqTdqGOS37xbkgY_SvYPw/o.jpg
Magdalene,4,$$,"['524 Lorimer St', 'Brooklyn, NY 11211']","[{'text': 'Love this spot! The falafel fried chicken plate was amazing. Super crispy, not dry at all and a huge portion. Also highly recommend the mezze plate.', 'reviewer': 'Christina C.', 'reviewer_id': 'uQH7Dq_spE-J9u1mInZ8mQ', 'rating': 5}, {'text': 'This place had some really good food! But we had some problems with our experience. \n\nThe drinks are delicious I highly recommend the hibiscus. \n\nFor food...', 'reviewer': 'Dena H.', 'reviewer_id': 'tcSTICkf2Jxi9fq9Uw-yzg', 'rating': 4}, {'text': 'Magda, owner of this restaurant is actually a well known yarn artist who coined the term ""yarn bombing,"" an art movement in which street sculptures get...', 'reviewer': 'Morlene C.', 'reviewer_id': 'VLTBPUrbNRR-f84h-altQw', 'rating': 4}]",3,Lebanese,61,https://s3-media2.fl.yelpcdn.com/bphoto/9ez5kNfQkp-upaJKD4QVZw/o.jpg
Casa Nono,5,,"['499 Myrtle Ave', 'Brooklyn, NY 11205']","[{'text': 'I love the vibes in this restaurant. Ask Aaron to make you a drink he recommends. His margaritas are amazing! We got a Mango Margarita, a Piña Colada...', 'reviewer': 'Morgan Y.', 'reviewer_id': 'G9XhNxSoYm5mCMl3z4JBug', 'rating': 5}, {'text': ""This place is absolutely amazing, it's been on my list for a while, and I am so glad I finally got to visit!\n\nStarted off with La sandia and the refrescante..."", 'reviewer': 'Jordan C.', 'reviewer_id': 'ViSUDb99FsQ4Sba2qoulIg', 'rating': 5}, {'text': ""Food:\nGreat Mexican food in the area. Probably one of the most authentic tasting ones I've had in New York. Coming from LA, I haven't had many that taste..."", 'reviewer': 'Michael H.', 'reviewer_id': 'Mc4rcX_TXq1ug1BGQPp9lw', 'rating': 5}]",3,Mexican,28,https://s3-media2.fl.yelpcdn.com/bphoto/z7BIHo6l7twJ14SRrbzmNw/o.jpg
Bea,5,$$,"['403 W 43rd St', 'New York, NY 10036']","[{'text': 'Great reasonably priced dinner in midtown! Serving side is appropriate and drinks were delicious.', 'reviewer': 'Jack G.', 'reviewer_id': '9L5ZgTEczTNKTabKZOhRmQ', 'rating': 5}, {'text': ""Hidden gem when you want to take in a show and grab some food.  I checked this place out in a Sunday after seeing a show a few blocks over.  It's tucked in..."", 'reviewer': 'Laura R.', 'reviewer_id': '0jSw-RA6JU1PZQlRvgqejQ', 'rating': 5}, {'text': 'So happy we stumbled upon this! \n\nPersonably hate staying in or near Times Square but had to for work and going the one block over made a huge difference...', 'reviewer': 'Regina S.', 'reviewer_id': 'c8ieJfWUquoXnjQiQLCr_A', 'rating': 5}]",3,American (New),2836,https://s3-media2.fl.yelpcdn.com/bphoto/m2d14AiiBqqly1gpMyU2RQ/o.jpg
Ipanema Restaurant,4,$$,"['3 W 36th St', 'New York, NY 10018']","[{'text': 'First and foremost the staff is superb, tentative and although delivering the most efficient and genuine 6-Star service they felt really down to earth and...', 'reviewer': 'Sheldon G.', 'reviewer_id': 'OmQsCMBVYUpPLr9dRXRGbA', 'rating': 5}, {'text': 'A strange and familiar Brazilian food shop, a total surprise, a strange and familiar Brazilian food shop, especially the toast before the meal is really...', 'reviewer': 'Cherry C.', 'reviewer_id': 'ElQgul0N2LZtcjDzLEoJ-g', 'rating': 4}, {'text': ""We went for restaurant week and both the service and food were excellent. I would've rated five stars if it weren't for the Picanha entree. Although the..."", 'reviewer': 'Catherine Y.', 'reviewer_id': '1FO3D7NLc3q8CbMtY_7nyw', 'rating': 4}]",3,Brazilian,1451,https://s3-media4.fl.yelpcdn.com/bphoto/5cocZ9wK4A8tpc0kePo0HQ/o.jpg
Cool World,5,,"['905 Lorimer St', 'Brooklyn, NY 11222']","[{'text': 'EVERYTHING was next level. So well done and beautiful presentation.  The staff was beyond friendly and accommodating. New favorite place!  Brunch on Sunday...', 'reviewer': 'Shannon B.', 'reviewer_id': 'hsty4tHWVQahHnaExV7S6g', 'rating': 5}, {'text': 'Good restaurant for brunch, we sat outside on a nice day. Wedge salad was unbelievable, would totally recommend. One of my new fave salads. Banana bread...', 'reviewer': 'Cate T.', 'reviewer_id': '6-RGzfop3n67aa_N7w2eIA', 'rating': 4}, {'text': 'I was invited here by a friend. This place recently opened up. The staff...was AMAZING. Soon as we walked in they greeted us, made us feel welcomed and made...', 'reviewer': 'Christian B.', 'reviewer_id': 'RGBxKJ5klkJNJb9OMbHQyw', 'rating': 5}]",3,American (New),20,https://s3-media4.fl.yelpcdn.com/bphoto/R_YfzYuE4vM6zb2iDAh4SQ/o.jpg
